HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455955.82777,2012-01-29.3243020,ba,2.06,99.990,99.990,99.990,99.990,99.990,V
2455955.82941,2012-01-29.3259427,ba,2.05,99.990,99.990,99.990,99.990,99.990,V
2456004.82362,2012-03-18.3240309,bb,2.27,16.844,14.789,0.033,4.656,0.142,V
2456004.82540,2012-03-18.3258075,bb,2.22,16.802,14.785,0.034,4.676,0.148,V
2456016.76177,2012-03-30.2631885,bb,2.15,16.233,14.612,0.050,5.482,0.250,V
2456016.76346,2012-03-30.2648784,bb,2.17,16.680,14.667,0.035,5.211,0.167,V
2456227.03685,2012-10-26.5336505,ba,2.23,16.711,14.769,0.037,4.748,0.160,V
2456227.03860,2012-10-26.5353989,ba,2.24,16.783,14.788,0.035,4.666,0.150,V
2456229.00442,2012-10-28.5010935,ba,2.31,16.453,14.775,0.047,4.718,0.202,V
2456229.00611,2012-10-28.5027844,ba,2.30,16.402,14.745,0.048,4.855,0.212,V
2456230.99367,2012-10-30.4902152,ba,2.31,16.206,15.008,0.073,3.811,0.253,V
2456230.99533,2012-10-30.4918824,ba,2.31,16.347,15.159,0.073,3.313,0.222,V
2456233.06039,2012-11-01.5568138,ba,2.28,16.415,14.616,0.042,5.466,0.210,V
2456233.06210,2012-11-01.5585206,ba,2.29,16.377,14.616,0.043,5.462,0.217,V
2456236.01093,2012-11-04.5071862,ba,2.13,16.887,14.847,0.033,4.418,0.136,V
2456236.01267,2012-11-04.5089266,ba,2.13,16.841,14.938,0.038,4.063,0.142,V
2456238.04375,2012-11-06.5398946,ba,2.13,16.926,14.622,0.026,5.433,0.131,V
2456238.04556,2012-11-06.5416980,ba,2.13,16.926,14.622,0.026,5.433,0.132,V
2456240.04219,2012-11-08.5382302,ba,2.01,17.062,14.690,0.025,5.103,0.116,V
2456240.04403,2012-11-08.5400613,ba,1.99,17.093,14.672,0.023,5.188,0.113,V
2456243.01239,2012-11-11.5082795,ba,2.07,17.101,14.636,0.024,5.360,0.114,V
2456243.01426,2012-11-11.5101498,ba,2.08,17.142,14.658,0.023,5.254,0.110,V
2456246.14494,2012-11-14.6406864,ba,2.14,99.990,99.990,99.990,99.990,99.990,V
2456249.95897,2012-11-18.4545589,ba,2.32,99.990,99.990,99.990,99.990,99.990,V
2456258.96390,2012-11-27.4591962,ba,2.13,16.387,14.738,0.048,4.883,0.215,V
2456258.96556,2012-11-27.4608646,ba,2.12,16.215,14.715,0.055,4.986,0.252,V
2456259.98414,2012-11-28.4794178,ba,2.26,16.040,14.549,0.055,5.814,0.297,V
2456268.97220,2012-12-07.4673142,ba,2.38,16.982,14.996,0.035,3.850,0.124,V
2456268.97401,2012-12-07.4691202,ba,2.36,17.013,15.004,0.034,3.821,0.121,V
2456272.03509,2012-12-10.5301787,ba,2.00,16.932,14.630,0.026,5.396,0.132,V
2456272.03692,2012-12-10.5320118,ba,2.00,16.942,14.635,0.026,5.371,0.130,V
2456276.93678,2012-12-15.4318489,ba,2.33,16.951,14.670,0.027,5.197,0.128,V
2456276.93861,2012-12-15.4336773,ba,2.32,17.032,14.727,0.026,4.936,0.119,V
2456300.89662,2013-01-08.3921468,ba,1.78,17.072,14.975,0.032,3.925,0.115,V
2456300.89845,2013-01-08.3939785,ba,1.75,17.019,14.926,0.032,4.107,0.121,V
2456302.89404,2013-01-10.3896424,ba,1.77,16.988,14.711,0.027,5.007,0.124,V
2456302.89588,2013-01-10.3914783,ba,1.79,17.006,14.689,0.026,5.108,0.122,V
2456308.85828,2013-01-16.3541498,ba,2.04,16.962,14.588,0.024,5.605,0.128,V
2456308.86011,2013-01-16.3559731,ba,2.04,16.930,14.559,0.025,5.756,0.132,V
2456317.83133,2013-01-25.3276689,ba,2.01,16.266,14.882,0.061,4.275,0.240,V
2456317.83299,2013-01-25.3293248,ba,2.00,16.214,14.757,0.057,4.800,0.252,V
2456319.86834,2013-01-27.3647944,ba,2.10,16.158,14.469,0.046,6.261,0.266,V
