GAIA_ID,RA,DEC,COMMENTS
3337991824460787072,05 35 02.7409,+09 56 47.620,Slow_rise
5993268150229262848,16 12 16.6699,-42 22 35.011,Ring_candidate
151262700852297728,04 27 04.6913,+26 06 16.041,Ring_candidate
6061133546946461568,12 39 00.9497,-56 54 55.398,Ring_candidate
5995154907858605312,15 58 59.2381,-42 16 13.107,Ring_candidate
3337991309064720640,05 34 56.4012,+09 55 04.505,Slow_rise
6245698560893135488,16 11 57.6390,-19 26 38.890,Ring_candidate
6002777379607110144,15 35 15.9138,-41 09 20.434,Slow_rise
3216486130212562560,05 38 43.8693,-02 37 06.913,Ring_candidate
6002774733907233664,15 35 23.1935,-41 10 17.033,Slow_rise
6023682600348653696,16 30 56.0117,-34 34 21.179,Ring_candidate
6104772162696862720,14 40 17.9433,-40 50 22.117,Ring_candidate
6243394091902074240,16 04 14.1295,-21 29 09.023,Ring_candidate
3016935867962755968,05 36 40.6838,-06 30 09.223,Ring_candidate
3217602035728162176,05 36 04.3173,-01 11 12.085,Slow_rise
3216486271943551616,05 38 48.6874,-02 36 16.299,Ring_candidate
6703923334602052096,18 29 40.9430,-49 49 19.312,Ring_candidate
2278965314331603456,22 12 40.9042,+73 19 21.692,Slow_rise
3340892714091577856,05 30 13.1309,+12 08 45.762,Ring_candidate
3337993405008742272,05 35 07.4210,+09 58 22.430,Slow_rise
3337990518790730624,05 35 16.0659,+09 53 37.488,Slow_rise
