MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,GAIA_ID
b'Gaia DR2 5860028609641142016',12 24 28.5564,-67 03 29.249,14,14,0.081,0.067,90,A,O,b'2018yCat.1345....0G',5860028609641142016
b'2MASS J05350274+0956475',05 35 02.7409,+09 56 47.620,14,14,0.067,0.061,90,A,O,b'2018yCat.1345....0G',3337991824460787072
b'Gaia DR2 5971165664421282432',16 44 48.5237,-37 48 38.057,14,14,0.050,0.040,90,A,O,b'2018yCat.1345....0G',5971165664421282432
b'TYC 7860-330-2',16 12 16.6699,-42 22 35.011,14,14,0.163,0.090,90,A,O,b'2018yCat.1345....0G',5993268150229262848
b'V* DG Tau',04 27 04.6913,+26 06 16.041,14,14,0.129,0.090,90,A,O,b'2018yCat.1345....0G',151262700852297728
b'Gaia DR2 6061133546946461568',12 39 00.9497,-56 54 55.398,14,14,0.020,0.020,90,A,O,b'2018yCat.1345....0G',6061133546946461568
b'Gaia DR2 3214684412903398656',05 11 03.2125,-02 15 25.538,14,14,0.048,0.040,90,A,O,b'2018yCat.1345....0G',3214684412903398656
b'UCAC4 239-091392',15 58 59.2381,-42 16 13.107,14,14,0.046,0.026,90,A,O,b'2018yCat.1345....0G',5995154907858605312
b'2MASS J05345639+0955045',05 34 56.4012,+09 55 04.505,14,14,0.183,0.156,90,A,O,b'2018yCat.1345....0G',3337991309064720640
b'Gaia DR2 5523501051321085056',08 35 17.8571,-42 58 45.640,14,14,0.020,0.023,90,A,O,b'2018yCat.1345....0G',5523501051321085056
b'UCAC4 353-079067',16 11 57.6390,-19 26 38.890,14,14,0.134,0.059,90,A,O,b'2018yCat.1345....0G',6245698560893135488
b'Gaia DR2 2168996765531077760',20 57 34.9639,+50 27 10.390,14,14,0.019,0.021,90,A,O,b'2018yCat.1345....0G',2168996765531077760
b'2MASS J03540222+3154408',03 54 02.2293,+31 54 40.767,14,14,0.039,0.019,90,A,O,b'2018yCat.1345....0G',168738411680688128
b'[BNM2013] 90.02   362',05 38 50.7820,-02 36 26.805,14,14,0.110,0.131,90,A,O,b'2018yCat.1345....0G',3216486203224073856
b'2MASS J13454424-4904500',13 45 44.2390,-49 04 50.002,14,14,0.063,0.128,90,A,O,b'2018yCat.1345....0G',6094572753539758976
b'UCAC3 135-174588',16 00 17.2976,-22 36 50.495,14,14,0.099,0.051,90,A,O,b'2018yCat.1345....0G',6243212844282186880
b'Gaia DR2 6034203483517407616',16 45 49.9380,-26 39 25.687,14,14,0.049,0.032,90,A,O,b'2018yCat.1345....0G',6034203483517407616
b'2MASS J16245532-2214285',16 24 55.3351,-22 14 28.631,14,14,0.106,0.061,90,A,O,b'2018yCat.1345....0G',6051834496046356992
