survey,HJD,mag,mag_err,flux,flux_err,camera
 KELT,2454034.731201,14.21285,0.008409999999999999,0.892269,0.006884,E
 KELT,2454034.73584,14.198579999999998,0.008459999999999999,0.904074,0.007017,E
 KELT,2454034.740479,14.186470000000002,0.0072,0.914214,0.006039,E
 KELT,2454034.745117,14.19554,0.00805,0.906609,0.006696,E
 KELT,2454034.759033,14.203510000000001,0.00774,0.899978,0.006391,E
 KELT,2454034.763672,14.204839999999999,0.00765,0.898876,0.006309,E
 KELT,2454034.768311,14.20019,0.007659999999999999,0.902734,0.006344,E
 KELT,2454034.772705,14.2079,0.00747,0.896347,0.006143,E
 KELT,2454034.79126,14.20783,0.00771,0.896404,0.006341,E
 KELT,2454034.795898,14.21289,0.00762,0.892237,0.006237,E
 KELT,2454035.724121,14.075289999999999,0.00878,1.012791,0.008158,E
 KELT,2454035.72876,14.08179,0.00856,1.006746,0.007906,E
 KELT,2454035.733398,14.068179999999998,0.00878,1.019445,0.008212,E
 KELT,2454035.738037,14.067520000000002,0.0085,1.020065,0.007955,E
 KELT,2454035.742676,14.07595,0.00851,1.012176,0.007902,E
 KELT,2454035.747314,14.072379999999999,0.00837,1.01551,0.007798,E
 KELT,2454035.751709,14.056270000000001,0.00835,1.03069,0.007896,E
 KELT,2454035.756348,14.06259,0.00822,1.024708,0.007728,E
 KELT,2454035.760986,14.068060000000001,0.00831,1.019558,0.007773,E
 KELT,2454035.765625,14.063920000000001,0.008140000000000001,1.023453,0.007643,E
 KELT,2454035.770264,14.060820000000001,0.00808,1.02638,0.007608,E
 KELT,2454035.774902,14.069720000000002,0.00815,1.018001,0.007612,E
 KELT,2454035.779541,14.05696,0.00815,1.030035,0.007702,E
 KELT,2454035.78418,14.060670000000002,0.008,1.026521,0.007534,E
 KELT,2454035.788818,14.064039999999999,0.00809,1.02334,0.007595,E
 KELT,2454035.793457,14.07347,0.00793,1.014491,0.007381,E
 KELT,2454035.798828,14.066579999999998,0.00795,1.020949,0.007446,E
 KELT,2454035.804443,14.06471,0.00796,1.022709,0.007469,E
 KELT,2454035.806641,14.063329999999999,0.00784,1.02401,0.007365,E
 KELT,2454035.811035,14.0677,0.00796,1.019896,0.007448,E
 KELT,2454035.815674,14.0684,0.00798,1.019239,0.007462,E
 KELT,2454035.820312,14.058860000000001,0.00796,1.028234,0.007509,E
 KELT,2454035.824951,14.0662,0.00799,1.021306,0.007486,E
 KELT,2454035.82959,14.06199,0.007809999999999999,1.025274,0.007346,E
 KELT,2454035.834229,14.061979999999998,0.00788,1.025284,0.007412,E
 KELT,2454035.838867,14.07209,0.0077,1.015781,0.007176,E
 KELT,2454035.843506,14.06179,0.0077599999999999995,1.025463,0.007301,E
 KELT,2454035.848145,14.07054,0.00793,1.017232,0.007401,E
 KELT,2454035.852783,14.0565,0.0077599999999999995,1.030472,0.007336,E
 KELT,2454035.857422,14.05919,0.00787,1.027922,0.007422,E
 KELT,2454035.862061,14.053429999999999,0.0078,1.033389,0.007395,E
 KELT,2454035.866699,14.058689999999999,0.00799,1.028395,0.007538,E
 KELT,2454035.871338,14.06564,0.00784,1.021833,0.00735,E
 KELT,2454035.881836,14.041101000000001,0.00877,1.056651,0.008502,W
 KELT,2454035.881836,14.041101000000001,0.00877,1.056651,0.008502,W
 KELT,2454035.887207,14.022610999999998,0.008709999999999999,1.0748,0.008589,W
 KELT,2454036.72998,13.96827,0.00909,1.117707,0.009321,E
 KELT,2454036.734619,13.97454,0.0092,1.111271,0.00938,E
 KELT,2454036.739258,13.978660000000001,0.008579999999999999,1.107062,0.008714,E
 KELT,2454036.743896,13.984620000000001,0.008709999999999999,1.101002,0.008798,E
 KELT,2454036.748535,13.987110000000001,0.00828,1.09848,0.008344,E
 KELT,2454036.757568,13.97435,0.009290000000000001,1.111466,0.009473,E
 KELT,2454036.762207,13.95713,0.00993,1.129234,0.010287,E
 KELT,2454036.780762,13.99075,0.008329999999999999,1.094803,0.008367,E
 KELT,2454036.7854,13.976220000000001,0.00831,1.109553,0.008459,E
 KELT,2454036.790039,13.99596,0.00761,1.089562,0.007607,E
 KELT,2454036.79541,13.991079999999998,0.007509999999999999,1.09447,0.007541,E
 KELT,2454036.801025,13.99335,0.00733,1.092184,0.007345,E
 KELT,2454036.806396,13.99416,0.007690000000000001,1.09137,0.0077,E
 KELT,2454036.808594,13.996839999999999,0.007790000000000001,1.088679,0.007781,E
 KELT,2454036.813232,13.98693,0.008159999999999999,1.098662,0.008225,E
 KELT,2454036.817871,13.993789999999999,0.00788,1.091742,0.007893,E
 KELT,2454036.82251,13.984679999999999,0.008740000000000001,1.100941,0.008828,E
 KELT,2454036.841064,13.995610000000001,0.00759,1.089913,0.007589,E
 KELT,2454036.845459,13.99794,0.00787,1.087577,0.007853,E
 KELT,2454036.850098,14.01154,0.00758,1.074039,0.007469,E
 KELT,2454036.890137,13.977220999999998,0.008790000000000001,1.120685,0.009037,W
 KELT,2454037.7229,14.158420000000001,0.00907,0.938141,0.007806,E
 KELT,2454037.727539,14.143310000000001,0.00798,0.951288,0.006964,E
 KELT,2454037.732178,14.131329999999998,0.00782,0.961843,0.006901,E
 KELT,2454037.736816,14.15714,0.00765,0.939247,0.006592,E
 KELT,2454037.741455,14.15829,0.0076,0.938253,0.006542,E
 KELT,2454037.74585,14.14661,0.00759,0.948401,0.006604,E
 KELT,2454037.750488,14.14886,0.00722,0.946438,0.006269,E
 KELT,2454037.755127,14.148520000000001,0.0073,0.946734,0.006341,E
 KELT,2454037.759766,14.14705,0.00733,0.948017,0.006375,E
 KELT,2454037.764404,14.151620000000001,0.0071200000000000005,0.944035,0.006167,E
 KELT,2454037.769043,14.155429999999999,0.00716,0.940728,0.006179,E
 KELT,2454037.773682,14.1442,0.006940000000000001,0.950508,0.006052,E
 KELT,2454037.77832,14.151720000000001,0.00701,0.943948,0.006071,E
 KELT,2454037.782959,14.13305,0.0070599999999999994,0.96032,0.00622,E
 KELT,2454037.787598,14.146270000000001,0.0069900000000000006,0.948698,0.006084,E
 KELT,2454037.792969,14.151110000000001,0.00686,0.944478,0.005944,E
 KELT,2454037.798584,14.15066,0.00687,0.94487,0.005955,E
 KELT,2454037.803955,14.14432,0.00688,0.950403,0.005999,E
 KELT,2454037.806152,14.14035,0.00686,0.953885,0.006003,E
 KELT,2454037.810791,14.15006,0.00689,0.945392,0.005976,E
 KELT,2454037.81543,14.144110000000001,0.006790000000000001,0.950587,0.005922,E
 KELT,2454037.820068,14.14691,0.00689,0.948139,0.005993,E
 KELT,2454037.824707,14.15182,0.00722,0.943861,0.006252,E
 KELT,2454037.829346,14.14344,0.00715,0.951174,0.006239,E
 KELT,2454037.833984,14.14279,0.00686,0.951744,0.00599,E
 KELT,2454037.838379,14.12682,0.007559999999999999,0.965846,0.006699,E
 KELT,2454037.843018,14.14225,0.00701,0.952217,0.006124,E
 KELT,2454037.847656,14.14833,0.00703,0.9469,0.006107,E
 KELT,2454037.852295,14.15065,0.007,0.944879,0.006068,E
 KELT,2454037.856934,14.14737,0.0071,0.947737,0.006173,E
 KELT,2454037.861572,14.14954,0.006840000000000001,0.945845,0.005935,E
 KELT,2454038.737793,14.049,0.007859999999999999,1.037614,0.007482,E
 KELT,2454038.760986,14.01191,0.008029999999999999,1.073673,0.00791,E
 KELT,2454038.779541,14.024970000000001,0.00793,1.060835,0.007718,E
 KELT,2454038.789551,14.035210000000001,0.00686,1.050877,0.006614,E
 KELT,2454038.794922,14.0475,0.00674,1.039049,0.006425,E
 KELT,2454038.800537,14.031239999999999,0.00689,1.054727,0.006667,E
 KELT,2454038.802734,14.03861,0.00678,1.047592,0.006516,E
 KELT,2454038.807373,14.03181,0.0069,1.054173,0.006673,E
 KELT,2454038.812012,14.0347,0.00683,1.051371,0.006588,E
 KELT,2454038.81665,14.03501,0.00678,1.051071,0.006538,E
 KELT,2454038.821289,14.035879999999999,0.0069299999999999995,1.050229,0.006677,E
 KELT,2454038.825684,14.04483,0.00688,1.041607,0.006575,E
 KELT,2454038.830322,14.024020000000002,0.0069,1.061764,0.006721,E
 KELT,2454038.834961,14.035520000000002,0.00703,1.050577,0.006776,E
 KELT,2454038.8396,14.045910000000001,0.00705,1.040572,0.00673,E
 KELT,2454038.844238,14.02808,0.007,1.057801,0.006793,E
 KELT,2454038.848877,14.03384,0.0070799999999999995,1.052204,0.006835,E
 KELT,2454038.853516,14.02754,0.00705,1.058327,0.006845,E
 KELT,2454038.858154,14.036079999999998,0.0071,1.050036,0.00684,E
 KELT,2454038.862793,14.03204,0.0071,1.05395,0.006865,E
 KELT,2454038.86792,14.017370000000001,0.00869,1.080001,0.00861,W
 KELT,2454038.873291,13.992370999999999,0.00825,1.105156,0.008365,W
 KELT,2454038.878662,14.003470000000002,0.00804,1.093916,0.008069,W
 KELT,2454038.884277,13.993951000000001,0.00808,1.103549,0.00818,W
 KELT,2454039.709473,14.002289999999999,0.010320000000000001,1.083228,0.010256,E
 KELT,2454039.714111,13.99426,0.010320000000000001,1.091269,0.010332,E
 KELT,2454039.71875,14.0027,0.01015,1.082819,0.010083,E
 KELT,2454039.723389,14.00785,0.01009,1.077695,0.009976,E
 KELT,2454039.728027,14.016729999999999,0.0102,1.068917,0.010003,E
 KELT,2454039.732666,13.993839999999999,0.010190000000000001,1.091692,0.010206,E
 KELT,2454039.737305,14.000110000000001,0.00946,1.085405,0.00942,E
 KELT,2454039.741943,14.01375,0.00954,1.071855,0.009381,E
 KELT,2454039.746582,14.007179999999998,0.00937,1.078361,0.00927,E
 KELT,2454039.750977,14.017610000000001,0.00913,1.068051,0.008946,E
 KELT,2454039.755615,14.003770000000001,0.00927,1.081753,0.0092,E
 KELT,2454039.760254,14.003820000000001,0.00911,1.081703,0.009041,E
 KELT,2454039.764893,14.018670000000002,0.00886,1.067009,0.008673,E
 KELT,2454039.769531,14.01591,0.00916,1.069725,0.00899,E
 KELT,2454039.77417,14.011339999999999,0.00877,1.074237,0.008643,E
 KELT,2454039.778809,14.0096,0.00897,1.07596,0.008854,E
 KELT,2454039.783447,14.00588,0.00891,1.079653,0.008825,E
 KELT,2454039.788818,14.010279999999998,0.00837,1.075286,0.008257,E
 KELT,2454039.791016,14.02222,0.00838,1.063526,0.008176,E
 KELT,2454039.795654,14.014,0.0084,1.071608,0.008258,E
 KELT,2454039.823486,14.01482,0.00962,1.070799,0.009451,E
 KELT,2454039.828125,14.00954,0.0083,1.076019,0.008194,E
 KELT,2454039.832764,14.01021,0.00809,1.075355,0.007981,E
 KELT,2454039.837402,14.02012,0.00815,1.065585,0.007967,E
 KELT,2454039.841797,14.01875,0.00792,1.06693,0.007752,E
 KELT,2454039.846436,14.0126,0.007809999999999999,1.072991,0.007688,E
 KELT,2454040.742676,14.168510000000001,0.01027,0.929463,0.008757,E
 KELT,2454040.747314,14.158879999999998,0.00995,0.937743,0.00856,E
 KELT,2454040.751953,14.154829999999999,0.00996,0.941248,0.008601,E
 KELT,2454040.756592,14.150079999999999,0.00972,0.945375,0.00843,E
 KELT,2454040.76123,14.159329999999999,0.00948,0.937355,0.008152,E
 KELT,2454040.765869,14.16627,0.00971,0.931382,0.008297,E
 KELT,2454040.770508,14.162270000000001,0.00953,0.93482,0.008173,E
 KELT,2454040.775146,14.16184,0.00955,0.93519,0.008194,E
 KELT,2454040.779541,14.17256,0.00932,0.926002,0.007918,E
 KELT,2454040.785156,14.163739999999999,0.009170000000000001,0.933555,0.007854,E
 KELT,2454040.790527,14.17044,0.0092,0.927812,0.007831,E
 KELT,2454040.792725,14.17644,0.0092,0.922699,0.007788,E
 KELT,2454040.797363,14.17956,0.00916,0.920051,0.007732,E
 KELT,2454040.802002,14.183670000000001,0.00913,0.916575,0.007677,E
 KELT,2454040.806641,14.17891,0.00921,0.920602,0.007779,E
 KELT,2454040.811279,14.16911,0.00915,0.928949,0.007798,E
 KELT,2454040.815918,14.17559,0.0092,0.923422,0.007794,E
 KELT,2454040.820557,14.16825,0.00903,0.929685,0.007702,E
 KELT,2454040.825195,14.177439999999999,0.00919,0.921849,0.007772,E
 KELT,2454040.829834,14.18235,0.00914,0.91769,0.007695,E
 KELT,2454040.834473,14.17349,0.00909,0.925209,0.007716,E
 KELT,2454040.838867,14.17428,0.00886,0.924536,0.007515,E
 KELT,2454040.843506,14.1779,0.008740000000000001,0.921459,0.007389,E
 KELT,2454040.848145,14.181410000000001,0.00863,0.918485,0.007272,E
 KELT,2454040.852783,14.186770000000001,0.0087,0.913962,0.007295,E
 KELT,2454040.857422,14.179160000000001,0.0087,0.92039,0.007346,E
 KELT,2454040.862549,14.180110999999998,0.010320000000000001,0.929667,0.008802,W
 KELT,2454040.86792,14.18002,0.00941,0.929745,0.008027,W
 KELT,2454040.873535,14.17325,0.009059999999999999,0.935561,0.007776,W
 KELT,2454041.758057,14.04907,0.009909999999999999,1.037548,0.009433,E
 KELT,2454041.760254,14.04825,0.010029999999999999,1.038331,0.009555,E
 KELT,2454041.762451,14.06337,0.01001,1.023972,0.009404,E
 KELT,2454041.764648,14.05393,0.00976,1.032914,0.009249,E
 KELT,2454041.766846,14.053329999999999,0.00981,1.033485,0.009301,E
 KELT,2454041.769043,14.044839999999999,0.0098,1.041598,0.009365,E
 KELT,2454041.77124,14.04814,0.00993,1.038437,0.00946,E
 KELT,2454041.773438,14.03791,0.00995,1.048267,0.009569,E
 KELT,2454041.775635,14.051739999999999,0.00982,1.034999,0.009324,E
 KELT,2454041.777832,14.05039,0.00995,1.036287,0.00946,E
 KELT,2454041.780029,14.07526,0.00968,1.012819,0.008995,E
 KELT,2454041.782227,14.058729999999999,0.009640000000000001,1.028357,0.009095,E
 KELT,2454041.786865,14.0442,0.009859999999999999,1.042212,0.009428,E
 KELT,2454041.791504,14.05292,0.00987,1.033875,0.009362,E
 KELT,2454041.796143,14.053970000000001,0.00988,1.032876,0.009362,E
 KELT,2454041.801025,14.0522,0.00949,1.034561,0.009007,E
 KELT,2454041.805664,14.055029999999999,0.009729999999999999,1.031868,0.009211,E
 KELT,2454041.810303,14.05149,0.00963,1.035238,0.009146,E
 KELT,2454041.814941,14.062,0.00944,1.025265,0.008879,E
 KELT,2454041.81958,14.041579999999998,0.00946,1.04473,0.009067,E
 KELT,2454041.824219,14.04514,0.009309999999999999,1.04131,0.008894,E
 KELT,2454041.828857,14.06037,0.00921,1.026805,0.008676,E
 KELT,2454041.83374,14.044020000000002,0.00932,1.042385,0.008913,E
 KELT,2454041.838379,14.053139999999999,0.0092,1.033665,0.008725,E
 KELT,2454041.843018,14.044210000000001,0.00911,1.042202,0.008711,E
 KELT,2454041.847656,14.04376,0.00976,1.042634,0.009336,E
 KELT,2454041.857422,14.035910999999999,0.01188,1.061714,0.011572,W
 KELT,2454041.863037,14.01609,0.0105,1.081275,0.010416,W
 KELT,2454050.696289,14.129679999999999,0.00804,0.963305,0.007105,E
 KELT,2454050.709961,14.143979999999999,0.00772,0.950701,0.006733,E
 KELT,2454050.714355,14.11925,0.00772,0.972604,0.006889,E
 KELT,2454050.741455,14.12009,0.00838,0.971852,0.007472,E
 KELT,2454050.746094,14.120479999999999,0.00859,0.971503,0.007656,E
 KELT,2454050.750488,14.110170000000002,0.00861,0.980772,0.007747,E
 KELT,2454050.755859,14.113010000000001,0.00822,0.97821,0.007377,E
 KELT,2454050.76123,14.118129999999999,0.00804,0.973608,0.007181,E
 KELT,2454050.766602,14.11341,0.008440000000000001,0.977849,0.007572,E
 KELT,2454050.771973,14.117679999999998,0.00852,0.974011,0.007613,E
